Prompt,Field,Type,Constraint
30ce026b-6cda-429f-8f35-088965e1d29b,rowguid,uuid,None
2009-01-27 00:00:00,modifieddate,timestamp without time zone,None
392,productid,integer,PRIMARY KEY
Hex Nut 3,name,character varying,None
HN-6320,productnumber,character varying,None
False,makeflag,boolean,None
False,finishedgoodsflag,boolean,None
,color,character varying,None
1000,safetystocklevel,smallint,CHECK
750,reorderpoint,smallint,CHECK
0,standardcost,numeric,CHECK
0,listprice,numeric,CHECK
,size,character varying,None
,sizeunitmeasurecode,character,None
,weightunitmeasurecode,character,None
,weight,numeric,CHECK
0,daystomanufacture,integer,CHECK
,productline,character,CHECK
,class,character,CHECK
,style,character,CHECK
,productsubcategoryid,integer,None
,productmodelid,integer,None
2008-04-30 00:00:00,sellstartdate,timestamp without time zone,CHECK
,sellenddate,timestamp without time zone,CHECK
,discontinueddate,timestamp without time zone,None
ee76fae0-161e-409c-a6f5-837b5b8b344d,rowguid,uuid,None
2014-02-08 10:01:36.827000,modifieddate,timestamp without time zone,None
590,businessentityid,integer,PRIMARY KEY
589,personid,integer,PRIMARY KEY
15,contacttypeid,integer,PRIMARY KEY
e65905fc-710a-4e1e-a4e1-0cdf876ebb02,rowguid,uuid,None
2017-12-13 13:21:11.553000,modifieddate,timestamp without time zone,None
19,businessentityid,integer,PRIMARY KEY
+NeFaMBZDuBHjM/jVl5RQmWChbKw5O6H7LR8DAboLXc=,passwordhash,character varying,None
9S8bKmU=,passwordsalt,character varying,None
2a41cb38-d36b-4a71-934d-44cbdd67dab3,rowguid,uuid,None
2011-02-07 00:00:00,modifieddate,timestamp without time zone,None
474,productid,integer,PRIMARY KEY
1,productphotoid,integer,PRIMARY KEY
True,primary,boolean,None
2008-03-31 00:00:00,modifieddate,timestamp without time zone,None
PH,countryregioncode,character varying,PRIMARY KEY
PHP,currencycode,character,PRIMARY KEY
2014-02-08 10:17:21.510000,modifieddate,timestamp without time zone,None
23,creditcardid,integer,PRIMARY KEY
Vista,cardtype,character varying,None
11117174633569,cardnumber,character varying,None
7,expmonth,smallint,None
2006,expyear,smallint,None
2012-04-15 00:00:00,modifieddate,timestamp without time zone,None
43772,salesorderid,integer,PRIMARY KEY
5,salesreasonid,integer,PRIMARY KEY
2011-06-18 00:00:00,modifieddate,timestamp without time zone,None
409,businessentityid,integer,PRIMARY KEY
6306,creditcardid,integer,PRIMARY KEY
2013-06-30 00:00:00,modifieddate,timestamp without time zone,None
287,businessentityid,integer,PRIMARY KEY
2012-08-30 00:00:00,quotadate,timestamp without time zone,PRIMARY KEY
15000,salesquota,numeric,CHECK
f72567da-8a78-43c7-9adb-30b1503e6f56,rowguid,uuid,None
2012-07-16 00:00:00,modifieddate,timestamp without time zone,None
SG,countryregioncode,character varying,PRIMARY KEY
SGD,currencycode,character,PRIMARY KEY
2014-02-08 10:17:21.510000,modifieddate,timestamp without time zone,None
DK,countryregioncode,character varying,PRIMARY KEY
Denmark,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
509,businessentityid,integer,PRIMARY KEY
6442,creditcardid,integer,PRIMARY KEY
2012-07-31 00:00:00,modifieddate,timestamp without time zone,None
635,businessentityid,integer,PRIMARY KEY
2847,creditcardid,integer,PRIMARY KEY
2013-05-30 00:00:00,modifieddate,timestamp without time zone,None
75,businessentityid,integer,PRIMARY KEY
2009-01-26 00:00:00,ratechangedate,timestamp without time zone,PRIMARY KEY
9.5,rate,numeric,CHECK
1,payfrequency,smallint,CHECK
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
377,productid,integer,PRIMARY KEY
1656,businessentityid,integer,PRIMARY KEY
16,averageleadtime,integer,CHECK
41.21,standardprice,numeric,CHECK
43.2705,lastreceiptcost,numeric,CHECK
2011-08-04 00:00:00,lastreceiptdate,timestamp without time zone,None
1,minorderqty,integer,CHECK
5,maxorderqty,integer,CHECK
,onorderqty,integer,CHECK
CTN,unitmeasurecode,character,None
2011-08-04 00:00:00,modifieddate,timestamp without time zone,None
CS,countryregioncode,character varying,PRIMARY KEY
Serbia and Montenegro,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
1558,businessentityid,integer,PRIMARY KEY
MARSH0001,accountnumber,character varying,None
Marsh,name,character varying,None
1,creditrating,smallint,CHECK
True,preferredvendorstatus,boolean,None
True,activeflag,boolean,None
,purchasingwebserviceurl,character varying,None
2012-02-03 00:00:00,modifieddate,timestamp without time zone,None
274,businessentityid,integer,PRIMARY KEY
2012-02-29 00:00:00,quotadate,timestamp without time zone,PRIMARY KEY
140000,salesquota,numeric,CHECK
da8d1458-5fb9-4c3e-9ead-8f5ce1393047,rowguid,uuid,None
2012-01-15 00:00:00,modifieddate,timestamp without time zone,None
326,productid,integer,PRIMARY KEY
Decal 2,name,character varying,None
DC-9824,productnumber,character varying,None
False,makeflag,boolean,None
False,finishedgoodsflag,boolean,None
,color,character varying,None
1000,safetystocklevel,smallint,CHECK
750,reorderpoint,smallint,CHECK
0,standardcost,numeric,CHECK
0,listprice,numeric,CHECK
,size,character varying,None
,sizeunitmeasurecode,character,None
,weightunitmeasurecode,character,None
,weight,numeric,CHECK
0,daystomanufacture,integer,CHECK
,productline,character,CHECK
,class,character,CHECK
,style,character,CHECK
,productsubcategoryid,integer,None
,productmodelid,integer,None
2008-04-30 00:00:00,sellstartdate,timestamp without time zone,CHECK
,sellenddate,timestamp without time zone,CHECK
,discontinueddate,timestamp without time zone,None
a56851f9-1cd7-4e2f-8779-2e773e1b5209,rowguid,uuid,None
2014-02-08 10:01:36.827000,modifieddate,timestamp without time zone,None
AMD,currencycode,character,PRIMARY KEY
Armenian Dram,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
102,workorderid,integer,PRIMARY KEY
803,productid,integer,PRIMARY KEY
1,operationsequence,smallint,PRIMARY KEY
10,locationid,smallint,None
2011-06-03 00:00:00,scheduledstartdate,timestamp without time zone,CHECK
2011-06-14 00:00:00,scheduledenddate,timestamp without time zone,CHECK
2011-06-03 00:00:00,actualstartdate,timestamp without time zone,CHECK
2011-06-19 00:00:00,actualenddate,timestamp without time zone,CHECK
4.1000,actualresourcehrs,numeric,CHECK
92.25,plannedcost,numeric,CHECK
92.25,actualcost,numeric,CHECK
2011-06-19 00:00:00,modifieddate,timestamp without time zone,None
31,businessentityid,integer,PRIMARY KEY
142,addressid,integer,PRIMARY KEY
2,addresstypeid,integer,PRIMARY KEY
4471aa16-af48-4adc-9ff3-ae4f7a0a9e2f,rowguid,uuid,None
2014-09-12 11:15:06.967000,modifieddate,timestamp without time zone,None
43775,salesorderid,integer,PRIMARY KEY
8,revisionnumber,smallint,None
2011-06-18 00:00:00,orderdate,timestamp without time zone,CHECK
2011-06-30 00:00:00,duedate,timestamp without time zone,CHECK
2011-06-25 00:00:00,shipdate,timestamp without time zone,CHECK
5,status,smallint,CHECK
True,onlineorderflag,boolean,None
,purchaseordernumber,character varying,None
10-4030-011027,accountnumber,character varying,None
11027,customerid,integer,None
,salespersonid,integer,None
9,territoryid,integer,None
14561,billtoaddressid,integer,None
14561,shiptoaddressid,integer,None
1,shipmethodid,integer,None
6918,creditcardid,integer,None
535106Vi36020,creditcardapprovalcode,character varying,None
236,currencyrateid,integer,None
3399.99,subtotal,numeric,CHECK
271.9992,taxamt,numeric,CHECK
84.9998,freight,numeric,CHECK
3756.989,totaldue,numeric,None
,comment,character varying,None
64bec07c-2d34-4360-97f9-aab1d4ec53f5,rowguid,uuid,None
2011-06-25 00:00:00,modifieddate,timestamp without time zone,None
11,contacttypeid,integer,PRIMARY KEY
Owner,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
284,businessentityid,integer,PRIMARY KEY
1,territoryid,integer,PRIMARY KEY
2012-09-30 00:00:00,startdate,timestamp without time zone,"CHECK, PRIMARY KEY"
,enddate,timestamp without time zone,CHECK
ed12f921-8023-48ef-84bd-94d942f4c009,rowguid,uuid,None
2012-09-23 00:00:00,modifieddate,timestamp without time zone,None
275,businessentityid,integer,PRIMARY KEY
2013-08-30 00:00:00,quotadate,timestamp without time zone,PRIMARY KEY
1218000,salesquota,numeric,CHECK
12aac834-ab2f-4e84-b85d-08839670c198,rowguid,uuid,None
2013-07-16 00:00:00,modifieddate,timestamp without time zone,None
782,productid,integer,PRIMARY KEY
2013-05-30 00:00:00,startdate,timestamp without time zone,"CHECK, PRIMARY KEY"
,enddate,timestamp without time zone,CHECK
2294.99,listprice,numeric,CHECK
2013-05-09 00:00:00,modifieddate,timestamp without time zone,None
1,specialofferid,integer,PRIMARY KEY
839,productid,integer,PRIMARY KEY
ea3dec45-3afb-42b5-a3bb-c6369d9e3c1d,rowguid,uuid,None
2011-04-01 00:00:00,modifieddate,timestamp without time zone,None
72,businessentityid,integer,PRIMARY KEY
443968955,nationalidnumber,character varying,None
adventure-works\steven0,loginid,character varying,None
Production Technician - WC30,jobtitle,character varying,None
1977-05-14,birthdate,date,CHECK
M,maritalstatus,character,CHECK
M,gender,character,CHECK
2008-12-01,hiredate,date,CHECK
False,salariedflag,boolean,None
41,vacationhours,smallint,CHECK
40,sickleavehours,smallint,CHECK
True,currentflag,boolean,None
0a8937c9-68aa-4d48-ba4e-b40493d764aa,rowguid,uuid,None
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
/3/1/6/1/,organizationnode,character varying,None
23,salestaxrateid,integer,PRIMARY KEY
36,stateprovinceid,integer,None
1,taxtype,smallint,CHECK
6.75,taxrate,numeric,None
Minnesota State Sales Tax,name,character varying,None
1753d75f-8357-4497-bc92-543f17bbf514,rowguid,uuid,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
71,businessentityid,integer,PRIMARY KEY
71,emailaddressid,integer,PRIMARY KEY
michael3@adventure-works.com,emailaddress,character varying,None
3f21eb3b-81ab-46f3-aae2-a8d5c5eb6a6d,rowguid,uuid,None
2009-02-08 00:00:00,modifieddate,timestamp without time zone,None
138,productphotoid,integer,PRIMARY KEY
<memory at 0x000001E010B684C0>,thumbnailphoto,bytea,None
fork_small.gif,thumbnailphotofilename,character varying,None
<memory at 0x000001E010B68640>,largephoto,bytea,None
fork_large.gif,largephotofilename,character varying,None
2012-04-30 00:00:00,modifieddate,timestamp without time zone,None
356,productid,integer,PRIMARY KEY
50,locationid,smallint,PRIMARY KEY
C,shelf,character varying,None
2,bin,smallint,CHECK
275,quantity,smallint,None
d604707d-b5c2-49cf-a983-8934523e186d,rowguid,uuid,None
2014-08-12 00:00:00,modifieddate,timestamp without time zone,None
344,businessentityid,integer,PRIMARY KEY
343,personid,integer,PRIMARY KEY
11,contacttypeid,integer,PRIMARY KEY
0e667419-c7bb-4aba-be17-78801a6d929c,rowguid,uuid,None
2017-12-13 13:21:03.837000,modifieddate,timestamp without time zone,None
17,businessentityid,integer,PRIMARY KEY
4,departmentid,smallint,PRIMARY KEY
1,shiftid,smallint,PRIMARY KEY
2007-01-26,startdate,date,"CHECK, PRIMARY KEY"
,enddate,date,CHECK
2007-01-25 00:00:00,modifieddate,timestamp without time zone,None
390,productid,integer,PRIMARY KEY
1536,businessentityid,integer,PRIMARY KEY
15,averageleadtime,integer,CHECK
37.21,standardprice,numeric,CHECK
39.0705,lastreceiptcost,numeric,CHECK
2011-08-07 00:00:00,lastreceiptdate,timestamp without time zone,None
1,minorderqty,integer,CHECK
5,maxorderqty,integer,CHECK
3,onorderqty,integer,CHECK
CTN,unitmeasurecode,character,None
2011-08-07 00:00:00,modifieddate,timestamp without time zone,None
83,businessentityid,integer,PRIMARY KEY
7,departmentid,smallint,PRIMARY KEY
2,shiftid,smallint,PRIMARY KEY
2010-02-12,startdate,date,"CHECK, PRIMARY KEY"
,enddate,date,CHECK
2010-02-11 00:00:00,modifieddate,timestamp without time zone,None
34,businessentityid,integer,PRIMARY KEY
EM,persontype,character,CHECK
False,namestyle,boolean,None
,title,character varying,None
Suchitra,firstname,character varying,None
O,middlename,character varying,None
Mohan,lastname,character varying,None
,suffix,character varying,None
2,emailpromotion,integer,CHECK
,additionalcontactinfo,xml,None
'<IndividualSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey''><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>',demographics,xml,None
7e239d8b-00bf-42d6-ac6b-4ea718dbc2b3,rowguid,uuid,None
2009-02-09 00:00:00,modifieddate,timestamp without time zone,None
98,workorderid,integer,PRIMARY KEY
532,productid,integer,None
2296,orderqty,integer,CHECK
0,scrappedqty,smallint,CHECK
2011-06-03 00:00:00,startdate,timestamp without time zone,CHECK
2011-06-13 00:00:00,enddate,timestamp without time zone,CHECK
2011-06-14 00:00:00,duedate,timestamp without time zone,None
,scrapreasonid,smallint,None
2011-06-13 00:00:00,modifieddate,timestamp without time zone,None
21,productmodelid,integer,PRIMARY KEY
1365,productdescriptionid,integer,PRIMARY KEY
ar    ,cultureid,character,PRIMARY KEY
2013-04-30 00:00:00,modifieddate,timestamp without time zone,None
317,productid,integer,PRIMARY KEY
LL Crankarm,name,character varying,None
CA-5965,productnumber,character varying,None
False,makeflag,boolean,None
False,finishedgoodsflag,boolean,None
Black,color,character varying,None
500,safetystocklevel,smallint,CHECK
375,reorderpoint,smallint,CHECK
0,standardcost,numeric,CHECK
0,listprice,numeric,CHECK
,size,character varying,None
,sizeunitmeasurecode,character,None
,weightunitmeasurecode,character,None
,weight,numeric,CHECK
0,daystomanufacture,integer,CHECK
,productline,character,CHECK
L ,class,character,CHECK
,style,character,CHECK
,productsubcategoryid,integer,None
,productmodelid,integer,None
2008-04-30 00:00:00,sellstartdate,timestamp without time zone,CHECK
,sellenddate,timestamp without time zone,CHECK
,discontinueddate,timestamp without time zone,None
3c9d10b7-a6b2-4774-9963-c19dcee72fea,rowguid,uuid,None
2014-02-08 10:01:36.827000,modifieddate,timestamp without time zone,None
406,productid,integer,PRIMARY KEY
External Lock Washer 5,name,character varying,None
LE-1400,productnumber,character varying,None
False,makeflag,boolean,None
False,finishedgoodsflag,boolean,None
,color,character varying,None
1000,safetystocklevel,smallint,CHECK
750,reorderpoint,smallint,CHECK
0,standardcost,numeric,CHECK
0,listprice,numeric,CHECK
,size,character varying,None
,sizeunitmeasurecode,character,None
,weightunitmeasurecode,character,None
,weight,numeric,CHECK
0,daystomanufacture,integer,CHECK
,productline,character,CHECK
,class,character,CHECK
,style,character,CHECK
,productsubcategoryid,integer,None
,productmodelid,integer,None
2008-04-30 00:00:00,sellstartdate,timestamp without time zone,CHECK
,sellenddate,timestamp without time zone,CHECK
,discontinueddate,timestamp without time zone,None
39314098-768b-49f9-a777-af2e3bb06b17,rowguid,uuid,None
2014-02-08 10:01:36.827000,modifieddate,timestamp without time zone,None
422,businessentityid,integer,PRIMARY KEY
421,personid,integer,PRIMARY KEY
14,contacttypeid,integer,PRIMARY KEY
b4e63792-5574-4f7d-a523-998067a535a3,rowguid,uuid,None
2017-12-13 13:21:06.180000,modifieddate,timestamp without time zone,None
139,businessentityid,integer,PRIMARY KEY
7,departmentid,smallint,PRIMARY KEY
1,shiftid,smallint,PRIMARY KEY
2010-01-06,startdate,date,"CHECK, PRIMARY KEY"
,enddate,date,CHECK
2010-01-05 00:00:00,modifieddate,timestamp without time zone,None
727,productid,integer,PRIMARY KEY
2011-05-31 00:00:00,startdate,timestamp without time zone,"CHECK, PRIMARY KEY"
2012-05-29 00:00:00,enddate,timestamp without time zone,CHECK
181.4857,standardcost,numeric,CHECK
2012-05-29 00:00:00,modifieddate,timestamp without time zone,None
10,purchaseorderid,integer,PRIMARY KEY
22,purchaseorderdetailid,integer,PRIMARY KEY
2011-12-28 00:00:00,duedate,timestamp without time zone,None
3,orderqty,smallint,CHECK
321,productid,integer,None
42.798,unitprice,numeric,CHECK
3.00,receivedqty,numeric,CHECK
0.00,rejectedqty,numeric,CHECK
2011-12-21 00:00:00,modifieddate,timestamp without time zone,None
43742,salesorderid,integer,PRIMARY KEY
5,salesreasonid,integer,PRIMARY KEY
2011-06-11 00:00:00,modifieddate,timestamp without time zone,None
58,stateprovinceid,integer,PRIMARY KEY
OR ,stateprovincecode,character,None
US,countryregioncode,character varying,None
False,isonlystateprovinceflag,boolean,None
Oregon,name,character varying,None
1,territoryid,integer,None
17ebf52e-94c8-4e7b-9ef3-5b6236763b49,rowguid,uuid,None
2014-02-08 10:17:21.587000,modifieddate,timestamp without time zone,None
2815,billofmaterialsid,integer,PRIMARY KEY
,productassemblyid,integer,CHECK
766,componentid,integer,CHECK
2010-09-15 00:00:00,startdate,timestamp without time zone,CHECK
,enddate,timestamp without time zone,CHECK
EA ,unitmeasurecode,character,None
0,bomlevel,smallint,CHECK
1.00,perassemblyqty,numeric,CHECK
2010-09-01 00:00:00,modifieddate,timestamp without time zone,None
142,businessentityid,integer,PRIMARY KEY
EM,persontype,character,CHECK
False,namestyle,boolean,None
,title,character varying,None
Olinda,firstname,character varying,None
C,middlename,character varying,None
Turner,lastname,character varying,None
,suffix,character varying,None
0,emailpromotion,integer,CHECK
,additionalcontactinfo,xml,None
'<IndividualSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey''><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>',demographics,xml,None
bf741cec-34e0-4b44-99c2-e0382fcd9e8e,rowguid,uuid,None
2010-02-25 00:00:00,modifieddate,timestamp without time zone,None
765,productid,integer,PRIMARY KEY
2011-05-31 00:00:00,startdate,timestamp without time zone,"CHECK, PRIMARY KEY"
2012-05-29 00:00:00,enddate,timestamp without time zone,CHECK
699.0982,listprice,numeric,CHECK
2012-05-29 00:00:00,modifieddate,timestamp without time zone,None
7,productmodelid,integer,PRIMARY KEY
1950,productdescriptionid,integer,PRIMARY KEY
zh-cht,cultureid,character,PRIMARY KEY
2013-04-30 00:00:00,modifieddate,timestamp without time zone,None
328,productid,integer,PRIMARY KEY
50,locationid,smallint,PRIMARY KEY
A,shelf,character varying,None
14,bin,smallint,CHECK
476,quantity,smallint,None
ea52800f-a344-4c4a-9e37-d48a67fbbb6c,rowguid,uuid,None
2008-03-31 00:00:00,modifieddate,timestamp without time zone,None
134,businessentityid,integer,PRIMARY KEY
140,addressid,integer,PRIMARY KEY
2,addresstypeid,integer,PRIMARY KEY
6bb68f5e-b89e-4d28-a48a-eb87e9071985,rowguid,uuid,None
2014-09-12 11:15:06.967000,modifieddate,timestamp without time zone,None
81,businessentityid,integer,PRIMARY KEY
4LxZHgPvi4kKhnT42hl/xkNq3mQG2FBwg7byrvrFDFE=,passwordhash,character varying,None
mj0siTs=,passwordsalt,character varying,None
d27ceebd-2034-4161-97b4-1d7488ebe45b,rowguid,uuid,None
2009-12-22 00:00:00,modifieddate,timestamp without time zone,None
52,purchaseorderid,integer,PRIMARY KEY
4,revisionnumber,smallint,None
4,status,smallint,CHECK
254,employeeid,integer,None
1618,vendorid,integer,None
4,shipmethodid,integer,None
2012-01-20 00:00:00,orderdate,timestamp without time zone,CHECK
2012-01-29 00:00:00,shipdate,timestamp without time zone,CHECK
114.471,subtotal,numeric,CHECK
9.1577,taxamt,numeric,CHECK
2.8618,freight,numeric,CHECK
2012-01-29 00:00:00,modifieddate,timestamp without time zone,None
17,purchaseorderid,integer,PRIMARY KEY
35,purchaseorderdetailid,integer,PRIMARY KEY
2011-12-29 00:00:00,duedate,timestamp without time zone,None
550,orderqty,smallint,CHECK
523,productid,integer,None
10.731,unitprice,numeric,CHECK
550.00,receivedqty,numeric,CHECK
0.00,rejectedqty,numeric,CHECK
2011-12-22 00:00:00,modifieddate,timestamp without time zone,None
756,productid,integer,PRIMARY KEY
2011-05-31 00:00:00,startdate,timestamp without time zone,"CHECK, PRIMARY KEY"
2012-05-29 00:00:00,enddate,timestamp without time zone,CHECK
1457.99,listprice,numeric,CHECK
2012-05-29 00:00:00,modifieddate,timestamp without time zone,None
EA ,unitmeasurecode,character,PRIMARY KEY
Each,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
125,businessentityid,integer,PRIMARY KEY
584205124,nationalidnumber,character varying,None
adventure-works\matthias0,loginid,character varying,None
Shipping and Receiving Clerk,jobtitle,character varying,None
1973-11-11,birthdate,date,CHECK
M,maritalstatus,character,CHECK
M,gender,character,CHECK
2009-01-20,hiredate,date,CHECK
False,salariedflag,boolean,None
94,vacationhours,smallint,CHECK
67,sickleavehours,smallint,CHECK
True,currentflag,boolean,None
54ed63dc-c62c-4cc7-89c2-015df49c49a5,rowguid,uuid,None
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
/3/1/12/4/,organizationnode,character varying,None
27,productmodelid,integer,PRIMARY KEY
1499,productdescriptionid,integer,PRIMARY KEY
fr    ,cultureid,character,PRIMARY KEY
2013-04-30 00:00:00,modifieddate,timestamp without time zone,None
40,businessentityid,integer,PRIMARY KEY
EM,persontype,character,CHECK
False,namestyle,boolean,None
,title,character varying,None
JoLynn,firstname,character varying,None
M,middlename,character varying,None
Dobney,lastname,character varying,None
,suffix,character varying,None
1,emailpromotion,integer,CHECK
,additionalcontactinfo,xml,None
'<IndividualSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey''><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>',demographics,xml,None
e8e5c9da-f808-4439-bf5c-b28236bb8467,rowguid,uuid,None
2007-12-19 00:00:00,modifieddate,timestamp without time zone,None
8,purchaseorderid,integer,PRIMARY KEY
13,purchaseorderdetailid,integer,PRIMARY KEY
2011-05-14 00:00:00,duedate,timestamp without time zone,None
3,orderqty,smallint,CHECK
405,productid,integer,None
49.644,unitprice,numeric,CHECK
3.00,receivedqty,numeric,CHECK
0.00,rejectedqty,numeric,CHECK
2011-05-07 00:00:00,modifieddate,timestamp without time zone,None
15,purchaseorderid,integer,PRIMARY KEY
33,purchaseorderdetailid,integer,PRIMARY KEY
2011-12-28 00:00:00,duedate,timestamp without time zone,None
3,orderqty,smallint,CHECK
497,productid,integer,None
34.188,unitprice,numeric,CHECK
3.00,receivedqty,numeric,CHECK
0.00,rejectedqty,numeric,CHECK
2011-12-21 00:00:00,modifieddate,timestamp without time zone,None
12,departmentid,integer,PRIMARY KEY
Document Control,name,character varying,None
Quality Assurance,groupname,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
374,productid,integer,PRIMARY KEY
Thin-Jam Hex Nut 11,name,character varying,None
HJ-9161,productnumber,character varying,None
False,makeflag,boolean,None
False,finishedgoodsflag,boolean,None
,color,character varying,None
1000,safetystocklevel,smallint,CHECK
750,reorderpoint,smallint,CHECK
0,standardcost,numeric,CHECK
0,listprice,numeric,CHECK
,size,character varying,None
,sizeunitmeasurecode,character,None
,weightunitmeasurecode,character,None
,weight,numeric,CHECK
0,daystomanufacture,integer,CHECK
,productline,character,CHECK
,class,character,CHECK
,style,character,CHECK
,productsubcategoryid,integer,None
,productmodelid,integer,None
2008-04-30 00:00:00,sellstartdate,timestamp without time zone,CHECK
,sellenddate,timestamp without time zone,CHECK
,discontinueddate,timestamp without time zone,None
ec2e54f5-9d07-4c26-b969-40f835395be3,rowguid,uuid,None
2014-02-08 10:01:36.827000,modifieddate,timestamp without time zone,None
568,businessentityid,integer,PRIMARY KEY
567,personid,integer,PRIMARY KEY
11,contacttypeid,integer,PRIMARY KEY
36622db3-b692-4ed7-9f45-d87c29ff57b7,rowguid,uuid,None
2017-12-13 13:21:10.883000,modifieddate,timestamp without time zone,None
126,workorderid,integer,PRIMARY KEY
945,productid,integer,None
4,orderqty,integer,CHECK
0,scrappedqty,smallint,CHECK
2011-06-04 00:00:00,startdate,timestamp without time zone,CHECK
2011-06-15 00:00:00,enddate,timestamp without time zone,CHECK
2011-06-15 00:00:00,duedate,timestamp without time zone,None
,scrapreasonid,smallint,None
2011-06-15 00:00:00,modifieddate,timestamp without time zone,None
850,billofmaterialsid,integer,PRIMARY KEY
,productassemblyid,integer,CHECK
983,componentid,integer,CHECK
2010-05-26 00:00:00,startdate,timestamp without time zone,CHECK
,enddate,timestamp without time zone,CHECK
EA ,unitmeasurecode,character,None
0,bomlevel,smallint,CHECK
1.00,perassemblyqty,numeric,CHECK
2010-05-12 00:00:00,modifieddate,timestamp without time zone,None
386,productid,integer,PRIMARY KEY
1562,businessentityid,integer,PRIMARY KEY
16,averageleadtime,integer,CHECK
45.23,standardprice,numeric,CHECK
47.4915,lastreceiptcost,numeric,CHECK
2011-08-04 00:00:00,lastreceiptdate,timestamp without time zone,None
1,minorderqty,integer,CHECK
5,maxorderqty,integer,CHECK
,onorderqty,integer,CHECK
CTN,unitmeasurecode,character,None
2011-08-04 00:00:00,modifieddate,timestamp without time zone,None
43659,salesorderid,integer,PRIMARY KEY
5,salesorderdetailid,integer,PRIMARY KEY
4911-403C-98,carriertrackingnumber,character varying,None
1,orderqty,smallint,CHECK
772,productid,integer,None
1,specialofferid,integer,None
2039.994,unitprice,numeric,CHECK
0,unitpricediscount,numeric,CHECK
5a74c7d2-e641-438e-a7ac-37bf23280301,rowguid,uuid,None
2011-05-31 00:00:00,modifieddate,timestamp without time zone,None
1,specialofferid,integer,PRIMARY KEY
796,productid,integer,PRIMARY KEY
5770e071-2bf3-4e2a-a7ad-4a1320f629db,rowguid,uuid,None
2011-04-01 00:00:00,modifieddate,timestamp without time zone,None
68,businessentityid,integer,PRIMARY KEY
537092325,nationalidnumber,character varying,None
adventure-works\charles0,loginid,character varying,None
Production Technician - WC60,jobtitle,character varying,None
1971-09-02,birthdate,date,CHECK
S,maritalstatus,character,CHECK
M,gender,character,CHECK
2009-12-03,hiredate,date,CHECK
False,salariedflag,boolean,None
27,vacationhours,smallint,CHECK
33,sickleavehours,smallint,CHECK
True,currentflag,boolean,None
cdc11292-df74-4fb0-8676-5b2aa4687142,rowguid,uuid,None
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
/3/1/5/6/,organizationnode,character varying,None
118,businessentityid,integer,PRIMARY KEY
222400012,nationalidnumber,character varying,None
adventure-works\don0,loginid,character varying,None
Production Technician - WC50,jobtitle,character varying,None
1971-06-13,birthdate,date,CHECK
M,maritalstatus,character,CHECK
M,gender,character,CHECK
2009-02-13,hiredate,date,CHECK
False,salariedflag,boolean,None
88,vacationhours,smallint,CHECK
64,sickleavehours,smallint,CHECK
True,currentflag,boolean,None
e720053d-922e-4c91-b81a-a1ca4ef8bb0e,rowguid,uuid,None
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
/3/1/11/10/,organizationnode,character varying,None
43667,salesorderid,integer,PRIMARY KEY
78,salesorderdetailid,integer,PRIMARY KEY
4DFB-4B10-A6,carriertrackingnumber,character varying,None
1,orderqty,smallint,CHECK
773,productid,integer,None
1,specialofferid,integer,None
2039.994,unitprice,numeric,CHECK
0,unitpricediscount,numeric,CHECK
359b0751-12c8-4875-82aa-c8250a1cf9a9,rowguid,uuid,None
2011-05-31 00:00:00,modifieddate,timestamp without time zone,None
123,customerid,integer,PRIMARY KEY
,personid,integer,None
718,storeid,integer,None
9,territoryid,integer,None
bc0a8115-7e8f-4faa-947f-fd315c30250d,rowguid,uuid,None
2014-09-12 11:15:07.263000,modifieddate,timestamp without time zone,None
JO,countryregioncode,character varying,PRIMARY KEY
JOD,currencycode,character,PRIMARY KEY
2014-02-08 10:17:21.510000,modifieddate,timestamp without time zone,None
623,businessentityid,integer,PRIMARY KEY
10502,creditcardid,integer,PRIMARY KEY
2013-07-31 00:00:00,modifieddate,timestamp without time zone,None
47,purchaseorderid,integer,PRIMARY KEY
105,purchaseorderdetailid,integer,PRIMARY KEY
2012-01-30 00:00:00,duedate,timestamp without time zone,None
550,orderqty,smallint,CHECK
939,productid,integer,None
48.2895,unitprice,numeric,CHECK
